date,state,fips,cases,deaths,Cases Per Capita,Deaths per capita,,State Population,,
3/2/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
3/2/20,New Hampshire,33,1,0, 0.07 , -   ,," 1,359,711 ",,
3/2/20,New York,36,1,0, 0.01 , -   ,," 19,453,561 ",,
3/2/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/2/20,Rhode Island,44,2,0, 0.19 , -   ,," 1,059,361 ",,
3/2/20,Texas,48,11,0, 0.04 , -   ,," 28,995,881 ",,
3/2/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
3/2/20,Washington,53,23,6, 0.30 , 0 ,," 7,614,893 ",,
3/2/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/3/20,Arizona,4,2,0, 0.03 , -   ,," 7,278,717 ",,
3/3/20,California,6,45,0, 0.11 , -   ,," 39,512,223 ",,
3/3/20,Florida,12,3,0, 0.01 , -   ,," 21,477,737 ",,
3/3/20,Georgia,13,2,0, 0.02 , -   ,," 10,617,423 ",,
3/3/20,Illinois,17,4,0, 0.03 , -   ,," 12,671,821 ",,
3/3/20,Massachusetts,25,2,0, 0.03 , -   ,," 6,892,503 ",,
3/3/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
3/3/20,New Hampshire,33,2,0, 0.15 , -   ,," 1,359,711 ",,
3/3/20,New York,36,2,0, 0.01 , -   ,," 19,453,561 ",,
3/3/20,North Carolina,37,1,0, 0.01 , -   ,," 10,488,084 ",,
3/3/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/3/20,Rhode Island,44,2,0, 0.19 , -   ,," 1,059,361 ",,
3/3/20,Texas,48,11,0, 0.04 , -   ,," 28,995,881 ",,
3/3/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
3/3/20,Washington,53,32,10, 0.42 , 0.13 ,," 7,614,893 ",,
3/3/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/4/20,Arizona,4,2,0, 0.03 , -   ,," 7,278,717 ",,
3/4/20,California,6,55,1, 0.14 , 0.00 ,," 39,512,223 ",,
3/4/20,Florida,12,3,0, 0.01 , -   ,," 21,477,737 ",,
3/4/20,Georgia,13,2,0, 0.02 , -   ,," 10,617,423 ",,
3/4/20,Illinois,17,4,0, 0.03 , -   ,," 12,671,821 ",,
3/4/20,Massachusetts,25,2,0, 0.03 , -   ,," 6,892,503 ",,
3/4/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
3/4/20,New Hampshire,33,2,0, 0.15 , -   ,," 1,359,711 ",,
3/4/20,New Jersey,34,1,0, 0.01 , -   ,," 8,882,190 ",,
3/4/20,New York,36,11,0, 0.06 , -   ,," 19,453,561 ",,
3/4/20,North Carolina,37,1,0, 0.01 , -   ,," 10,488,084 ",,
3/4/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/4/20,Rhode Island,44,2,0, 0.19 , -   ,," 1,059,361 ",,
3/4/20,Texas,48,12,0, 0.04 , -   ,," 28,995,881 ",,
3/4/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
3/4/20,Washington,53,47,11, 0.62 , 0.14 ,," 7,614,893 ",,
3/4/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/5/20,Arizona,4,2,0, 0.03 , -   ,," 7,278,717 ",,
3/5/20,California,6,67,1, 0.17 , 0.00 ,," 39,512,223 ",,
3/5/20,Colorado,8,2,0, 0.03 , -   ,," 5,758,736 ",,
3/5/20,Florida,12,4,0, 0.02 , -   ,," 21,477,737 ",,
3/5/20,Georgia,13,2,0, 0.02 , -   ,," 10,617,423 ",,
3/5/20,Illinois,17,5,0, 0.04 , -   ,," 12,671,821 ",,
3/5/20,Maryland,24,3,0, 0.05 , -   ,," 6,045,680 ",,
3/5/20,Massachusetts,25,3,0, 0.04 , -   ,," 6,892,503 ",,
3/5/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
3/5/20,Nevada,32,2,0, 0.06 , -   ,," 3,080,156 ",,
3/5/20,New Hampshire,33,2,0, 0.15 , -   ,," 1,359,711 ",,
3/5/20,New Jersey,34,2,0, 0.02 , -   ,," 8,882,190 ",,
3/5/20,New York,36,22,0, 0.11 , -   ,," 19,453,561 ",,
3/5/20,North Carolina,37,1,0, 0.01 , -   ,," 10,488,084 ",,
3/5/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/5/20,Rhode Island,44,2,0, 0.19 , -   ,," 1,059,361 ",,
3/5/20,Tennessee,47,1,0, 0.01 , -   ,," 6,829,174 ",,
3/5/20,Texas,48,16,0, 0.06 , -   ,," 28,995,881 ",,
3/5/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
3/5/20,Washington,53,75,11, 0.98 , 0.14 ,," 7,614,893 ",,
3/5/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/6/20,Arizona,4,3,0, 0.04 , -   ,," 7,278,717 ",,
3/6/20,California,6,81,1, 0.20 , 0.00 ,," 39,512,223 ",,
3/6/20,Colorado,8,8,0, 0.14 , -   ,," 5,758,736 ",,
3/6/20,Florida,12,7,2, 0.03 , 0.01 ,," 21,477,737 ",,
3/6/20,Georgia,13,3,0, 0.03 , -   ,," 10,617,423 ",,
3/6/20,Hawaii,15,1,0, 0.07 , -   ,," 1,415,872 ",,
